Date,GDP,CPI,PPI,UnemploymentRate,ConsumerConfidence,FedFunds,GoodsTradeBalance,MonetaryBase,FederalDebt,FederalSurplusDeficit
1992-01-01,9540.444,138.667,115.9,7.4,70.8,4.02,-1833.0,334.19,3881288.0,-38520.0
1992-04-01,9643.893,139.733,117.167,7.6,78.9,3.77,-3284.0,342.312,3984656.0,-9462.66666667
1992-07-01,9739.185,140.8,117.867,7.6,76.1,3.26,-3589.0,352.355,4064621.0,-20859.66666667
1992-10-01,9840.753,142.033,117.833,7.4,83.2,3.04,-4364.0,363.036,4177009.0,-40155.0
1993-01-01,9857.185,143.067,118.367,7.1,87.3,3.04,-4748.0,371.197,4230580.0,-20885.0
1993-04-01,9914.565,144.1,119.5,7.1,82.5,3.0,-5914.0,380.718,4351950.0,-6015.66666667
1993-07-01,9961.873,144.767,118.867,6.8,77.4,3.06,-6331.0,392.251,4411489.0,-18046.0
1993-10-01,10097.362,145.967,118.9,6.6,84.0,2.99,-6443.0,402.771,4535687.0,-30502.66666667
1994-01-01,10195.338,146.7,119.367,6.6,93.0,3.21,-7306.0,413.157,4575869.0,-19544.33333333
1994-04-01,10333.495,147.533,120.033,6.2,92.2,3.94,-7998.0,420.865,4645802.0,82.33333333
1994-07-01,10393.898,148.9,120.967,6.0,90.7,4.49,-8451.0,428.511,4692750.0,-17735.66666667
1994-10-01,10512.962,149.767,121.433,5.6,93.1,5.17,-9076.0,434.193,4800150.0,-24463.0
1995-01-01,10550.251,150.867,123.433,5.5,94.3,5.81,-9283.0,439.735,4864116.0,-24422.33333333
1995-04-01,10581.723,152.1,124.933,5.7,91.7,6.02,-9774.0,447.682,4951372.0,7660.0
1995-07-01,10671.738,152.867,125.2,5.7,93.2,5.8,-6772.0,450.84,4973983.0,-13413.33333333
1995-10-01,10744.203,153.7,125.467,5.6,89.8,5.72,-6300.0,453.825,4988665.0,-18642.33333333
1996-01-01,10824.674,155.067,126.3,5.5,90.5,5.36,-7847.0,457.245,5117786.0,-23987.0
1996-04-01,11005.217,156.4,127.833,5.5,91.5,5.24,-8488.0,462.184,5161076.0,17897.66666667
1996-07-01,11103.935,157.3,128.167,5.3,94.9,5.31,-10228.0,469.508,5224811.0,-11143.33333333
1996-10-01,11219.238,158.667,128.433,5.3,97.5,5.28,-8126.0,475.952,5323172.0,-19731.0
