,GDP,CPI,PPI,UnemploymentRate,ConsumerConfidence,HousingStarts,ExistingHomeSales,NewHomeSales
2008-01-01,15702.906,,,,,,,
2008-03-01,,213.448,187.9,5.1,69.5,1005.0,,535.0
2008-04-01,15792.773,213.942,190.9,5.0,62.6,1013.0,,536.0
2008-05-01,,215.208,196.6,5.4,59.8,973.0,,504.0
2008-06-01,,217.463,200.5,5.6,56.4,1046.0,,487.0
2008-07-01,15709.562,219.016,205.5,5.8,61.2,923.0,,477.0
2008-08-01,,218.69,199.0,6.1,63.0,844.0,,435.0
2008-09-01,,218.877,196.9,6.1,70.3,820.0,,433.0
2008-10-01,15366.607,216.995,186.4,6.5,57.6,777.0,,393.0
2008-11-01,,213.153,176.8,6.8,55.3,652.0,,389.0
2008-12-01,,211.398,170.9,7.3,60.1,560.0,,377.0
2009-01-01,15187.475,211.933,171.2,7.8,61.2,490.0,,336.0
2009-02-01,,212.705,169.3,8.3,56.3,582.0,,372.0
2009-03-01,,212.495,168.1,8.7,57.3,505.0,,339.0
2009-04-01,15161.772,212.709,169.1,9.0,65.1,478.0,,337.0
2009-05-01,,213.022,170.8,9.4,68.7,540.0,,376.0
2009-06-01,,214.79,174.1,9.5,70.8,585.0,,393.0
2009-07-01,15216.647,214.726,172.5,9.5,66.0,594.0,,411.0
2009-08-01,,215.445,175.0,9.6,65.7,586.0,,418.0
2009-09-01,,215.861,174.1,9.8,73.5,585.0,,386.0
2009-10-01,15379.155,216.509,175.2,10.0,70.6,534.0,,396.0
2009-11-01,,217.234,177.4,9.9,67.4,588.0,,375.0
2009-12-01,,217.347,178.1,9.9,72.5,581.0,,352.0
2010-01-01,15456.059,217.488,181.9,9.8,74.4,614.0,,345.0
2010-02-01,,217.281,181.0,9.8,73.6,604.0,,336.0
2010-03-01,,217.353,183.3,9.9,73.6,636.0,,381.0
2010-04-01,15605.628,217.403,184.4,9.9,72.2,687.0,,422.0
2010-05-01,,217.29,184.8,9.6,73.6,583.0,,280.0
2010-06-01,,217.199,183.5,9.4,76.0,536.0,,305.0
2010-07-01,15726.282,217.605,184.1,9.4,67.8,546.0,,283.0
2010-08-01,,217.923,184.9,9.5,68.9,599.0,,282.0
2010-09-01,,218.275,184.9,9.5,68.2,594.0,,317.0
2010-10-01,15807.995,219.035,186.6,9.4,67.7,543.0,,291.0
2010-11-01,,219.59,187.7,9.8,71.6,545.0,,287.0
2010-12-01,,220.472,189.7,9.3,74.5,539.0,,326.0
2011-01-01,15769.911,221.187,192.7,9.1,74.2,630.0,,307.0
2011-02-01,,221.898,195.8,9.0,77.5,517.0,,270.0
2011-03-01,,223.046,199.2,9.0,67.5,600.0,,300.0
2011-04-01,15876.839,224.093,203.1,9.1,69.8,554.0,,310.0
2011-05-01,,224.806,204.1,9.0,74.3,561.0,,305.0
2011-06-01,,224.806,203.9,9.1,71.5,608.0,,301.0
2011-07-01,15870.684,225.395,204.6,9.0,63.7,623.0,,296.0
2011-08-01,,226.106,203.2,9.0,55.8,585.0,,299.0
2011-09-01,,226.597,203.7,9.0,59.5,650.0,,304.0
2011-10-01,16048.702,226.75,201.1,8.8,60.8,610.0,,316.0
2011-11-01,,227.169,201.4,8.6,63.7,711.0,,328.0
2011-12-01,,227.223,199.8,8.5,69.9,694.0,,341.0
2012-01-01,16179.968,227.842,200.7,8.3,75.0,723.0,,335.0
2012-02-01,,228.329,201.6,8.3,75.3,704.0,,366.0
2012-03-01,,228.807,204.2,8.2,76.2,695.0,,354.0
2012-04-01,16253.726,229.187,203.7,8.2,76.4,753.0,,354.0
2012-05-01,,228.713,201.9,8.2,79.3,708.0,,370.0
2012-06-01,,228.524,199.8,8.2,73.2,757.0,,360.0
2012-07-01,16282.151,228.59,200.1,8.2,72.3,740.0,,369.0
2012-08-01,,229.918,202.7,8.1,74.3,754.0,,375.0
2012-09-01,,231.015,204.4,7.8,78.3,847.0,,385.0
2012-10-01,16300.035,231.638,203.5,7.8,82.6,915.0,,358.0
2012-11-01,,231.249,201.8,7.7,82.7,833.0,,392.0
2012-12-01,,231.221,201.5,7.9,72.9,976.0,,399.0
2013-01-01,16441.485,231.679,202.5,8.0,73.8,888.0,,446.0
2013-02-01,,232.937,204.3,7.7,77.6,962.0,,447.0
2013-03-01,,232.282,204.0,7.5,78.6,1010.0,,444.0
